group	size	logsize	score
JUND_JUND	12271577	31.051709462739005	135.1
JUND_EGR1	3887432	27.98189304859401	202.5
JUND_CEBPB	4197840	28.547423235668845	21.92
JUND_EGR1	6315700	29.920394070387953	104.5
JUND_JUND	9654039	30.69830693490239	83.8
JUND_CEBPB	7617730	30.298164379501905	60.22
JUND_JUND	16240637	31.424252432665927	39.02
JUND_EGR1	6524448	29.991405636274227	108.7
JUND_CEBPB	16521374	31.446012812363097	35.42
JUND_ELF1	12300766	31.055023773826626	90.6
JUND_ELF1	5822614	29.729431642158858	145.1
JUND_CEBPB	8950680	30.57737316807576	44.12
JUND_CEBPB	15236042	31.342259879049312	45.97
JUND_ATF3	4017470	28.258420660305852	135.6
JUND_EGR1	5681171	29.66717553301344	109.3
JUND_ELF1	4536403	28.933446947297362	146.3
JUND_JUND	5470424	29.566571949351243	55.44
JUND_JUND	24789839	31.937031132299225	49.65
JUND_FOS	7610012	30.296297722741468	104.9
JUND_ATF3	3673649	27.240213860223093	216.2
JUND_FOS	20239029	31.696809529146268	42.1
JUND_FOS	20140769	31.69092944522428	37.07
JUND_FOS	23007895	31.849709601686776	35.4
JUND_FOS	21468023	31.767575277976253	42.62
JUND_CEBPB	22479611	31.82228528269998	25.26
JUND_BHLHE40	4044092	28.306695367502424	159.8
JUND_JUND	4570693	28.96536683824332	115.4
JUND_CHD1	3678856	27.266640498620674	153.2
JUND_BHLHE40	6919944	30.113511209235778	77.95
JUND_CHD1	5316267	29.48599249168469	52.57
JUND_CEBPB	9117832	30.607465531498185	32.88
JUND_JUND	8781043	30.54587848823309	103.7
JUND_CEBPB	34995715	32.32833647084993	36.63
JUND_JUND	16920638	31.476166886775875	53.43
JUND_BHLHE40	11738802	30.98920073233719	135.7
JUND_CEBPB	26493357	32.01393426639566	34.17
JUND_JUND	21414375	31.764588524953098	76.36
JUND_CEBPB	9716963	30.708445758288462	102.6
JUND_CHD1	11357157	30.941892906953953	59.76
JUND_CEBPB	43531544	32.568012009147324	17.73
JUND_JUND	23533043	31.876245492221003	68.94
JUND_BHLHE40	13739771	31.20613293925385	79.44
JUND_CEBPB	17971436	31.551437648075453	26.14
JUND_JUND	10932384	30.886465588126228	71.21
JUND_FOS	24636187	31.92979490455936	33.11
JUND_JUND	4432337	28.829823060389753	21.0
JUND_FOS	3883473	27.972147680726245	107.4
JUND_FOS	10003425	30.753346341174158	66.55
JUND_FOS	9479493	30.669632403416877	192.1
JUND_ATF3	8863808	30.561368519925963	83.9
JUND_CHD1	14404807	31.268933777779157	72.82
JUND_CHD1	9615991	30.692126087681878	74.34
JUND_ELF1	4024381	28.271178334669173	153.1
JUND_ATF3	13252030	31.157430510060134	66.96
JUND_BHLHE40	26095233	31.99648379379286	39.27
JUND_CEBPB	4134058	28.454480439325373	100.5
JUND_ELF1	5179983	29.408910728773307	125.1
BHLHE40_ATF3	698113	25.52583587423144	696.2
BHLHE40_ATF3	939952	26.047405342256713	456.8
BHLHE40_ATF3	689766	25.50192101528124	977.5
BHLHE40_ATF3	2468980	27.319842123938166	201.9
BHLHE40_ATF3	2620755	27.38885894268227	142.2
BHLHE40_ATF3	615542	25.25956756039058	64.02
BHLHE40_ATF3	435869	24.169340517431802	727.0
BHLHE40_BHLHE40	713329	25.568011801439795	1660.0
BHLHE40_BHLHE40	4658489	28.028271955941015	176.0
BHLHE40_BHLHE40	3251101	27.633349199581552	498.0
BHLHE40_BHLHE40	6236529	28.340033778954393	152.2
BHLHE40_ATF3	2194683	27.181572180078923	114.9
BHLHE40_ATF3	2868905	27.492349759971177	104.9
BHLHE40_BHLHE40	6080873	28.313258677486242	101.0
BHLHE40_ATF3	1092866	26.276111663029518	547.6
BHLHE40_ATF3	1733529	26.894822031338812	352.8
BHLHE40_ATF3	3772368	27.798323899427057	212.3
BHLHE40_ATF3	6058102	28.30928092324975	113.2
BHLHE40_ATF3	883158	25.947095785910413	59.65
BHLHE40_ATF3	539337	24.928888985827655	744.5
BHLHE40_BHLHE40	909780	25.99537049310699	1536.0
BHLHE40_BHLHE40	3785632	27.802186334840343	327.2
BHLHE40_BHLHE40	8604490	28.67787585794175	332.6
