"group","size","logsize","score","simple.x","simple.y","group.offset","complicated.x","complicated.y"
"CHD1_CEBPB",3153433,28.3518995268442,17.56,10617,0.646089907555663,-552.107663141124,10617,1.46902645543235
"CHD1_CEBPB",4370646,28.7870993540532,17.63,13174,0.646982608193607,-552.107663141124,13174,1.47062424791404
"CHD1_CEBPB",1290138,26.5519333078774,2.062,3413,0.445568423122365,-552.107663141124,3413,1.0547468982314
"CHD1_CEBPB",2296805,27.8678108164989,5.14,8163,0.462796850673353,-552.107663141124,8163,1.12414061458135
"CHD1_CEBPB",5156888,28.9924276118255,7.705,14531,0.49159556829834,-552.107663141124,14531,1.19082312693511
"CHD1_CEBPB",3329473,28.4278046325245,15.7,11055,0.616218198735059,-552.107663141124,11055,1.4194072756714
"CHD1_CEBPB",4495049,28.8225281553231,10.28,13405,0.529155272962226,-552.107663141124,13405,1.26268510251846
"CHD1_ATF3",1191777,26.2419323423605,3.815,2699,0.452581771943713,-517.403642857148,2699,0.687653106287692
"CHD1_ATF3",1012104,25.1517052994017,22.15,1165,0.718435665452365,-517.403642857148,1165,0.840282343161872
"CHD1_CEBPB",7864607,29.4866677886566,5.323,17982,0.464615865853172,-552.107663141124,17982,1.12890651527488
"CHD1_BHLHE40",1289564,26.5503765834097,159.4,3408,2.30015197399969,-478.156564171125,3408,2.67372521260324
"CHD1_CHD1",2207920,27.8010171423063,269.2,7814.5,3.20291417072649,-361.402613122177,7814.5,2.57240334239552
"CHD1_BHLHE40",5234724,29.0106367379109,49.05,14648,1.08856907970956,-478.156564171125,14648,0.729337818644035
"CHD1_CEBPB",3671720,28.5606810041531,20.47,11823,0.692298121257361,-552.107663141124,11823,1.53874527976425
"CHD1_CEBPB",10625781,29.8214703041314,12.47,20480,0.563680743435267,-552.107663141124,20480,1.32825536759155
"CHD1_BHLHE40",3827336,28.6157139815514,67.28,12148,1.30344437023054,-478.156564171125,12148,0.913691015628267
"CHD1_CEBPB",9319519,29.6769049827979,4.409,19340,0.456080624575922,-552.107663141124,19340,1.10701743210902
"CHD1_CEBPB",3842555,28.6209370384513,19.59,12175,0.677440335949491,-552.107663141124,12175,1.51818315991897
"CHD1_CHD1",2780166,28.168923992543,201.3,9658.5,2.67287831883778,-361.402613122177,9658.5,1.27107418964639
"CHD1_CEBPB",14123004,30.1292237836214,4.289,22843,0.455501021324455,-552.107663141124,22843,1.10429263478283
"CHD1_BHLHE40",6812764,29.3223985609243,51.06,16767,1.11434551561566,-478.156564171125,16767,0.74441295495696
"CHD1_CEBPB",8285982,29.5455840691439,10.16,18385,0.527172662631999,-552.107663141124,18385,1.25879611052132
"CHD1_ATF3",2770918,28.1639369620488,12.49,9630,0.563959579078139,-517.403642857148,9630,0.749347581303915
"CHD1_CHD1",3556149,28.5177559945163,187.5,11607.5,2.56087646400569,-361.402613122177,11607.5,0.965813186540942
"CHD1_CHD1",2357520,27.9109992567903,313.9,8367.5,3.44487973311305,-361.402613122177,8367.5,3.18661056933224
"CHD1_ATF3",3445140,28.4747145419411,6.226,11344,0.474029176655094,-517.403642857148,11344,0.704605503954559
"CHD1_BHLHE40",6657108,29.2956234594561,35.18,16568,0.908043160083682,-478.156564171125,16568,0.638676292618587
"CHD1_CEBPB",1269757,26.4951178834614,49.68,3269,1.0959126273919,-552.107663141124,3269,2.10917642399562
"CHD1_CHD1",7503012,29.4331858694585,213.3,17570.5,2.77570244808843,-361.402613122177,17570.5,1.58994848369273
"CHD1_CHD1",17204222,30.3389922345726,160.3,24455.5,2.30843342163898,-361.402613122177,24455.5,0.691164012828459
"CHD1_ATF3",1669101,27.2584764449994,41.31,5550,0.989318613361757,-517.403642857148,5550,1.16249200639785
"CHD1_ATF3",2309764,27.8771868133087,48.79,8204,1.08537470305342,-517.403642857148,8204,1.37477238133675
"CHD1_ATF3",4348603,28.7806886813969,35.8,13137,0.916025906615648,-517.403642857148,13137,1.03654686629644
"CHD1_ATF3",6634337,29.2916457052196,101.2,16535,1.68642637338217,-517.403642857148,16535,2.37664661275537
"CHD1_CEBPB",7300859,29.4019907763736,22.45,17351,0.723140182902972,-552.107663141124,17351,1.58647391605055
"CHD1_CEBPB",1639763,27.2184631432433,9.144,5404,0.510630372920824,-552.107663141124,5404,1.2282169384613
"CHD1_CEBPB",5059653,28.9692042870764,7.998,14386,0.495645043023222,-552.107663141124,14386,1.19871129978412
"CHD1_CEBPB",13963297,30.1170527199375,10.92,22729,0.539213627340812,-552.107663141124,22729,1.28103642781303
"CHD1_CEBPB",6392603,29.2484130756502,21.36,16230,0.705974869273398,-552.107663141124,16230,1.5595007418157
"CHD1_CEBPB",12677965,30.0132997866238,16.39,21933,0.627571883071401,-552.107663141124,21933,1.43710315334883
"CHD1_ATF3",1459393,26.9294605678803,6.602,4415,0.478156164505849,-517.403642857148,4415,0.706770299820944
"CHD1_ATF3",1115572,25.9112537677975,39.35,2092,0.963118564293341,-517.403642857148,2092,1.11264182939376
"CHD1_CEBPB",19921534,30.4933251902744,7.81,25577,0.492715741085991,-552.107663141124,25577,1.193574160307
"CHD1_BHLHE40",1486015,26.9777352750769,166.6,4577,2.37404209379237,-478.156564171125,4577,2.77503252108542
"CHD1_CHD1",1120779,25.9376804061951,772.8,2136.5,4.67295647224802,-361.402613122177,2136.5,4.98019097988288
"CHD1_BHLHE40",4361867,28.7845511168102,69.74,13161,1.33350140560013,-478.156564171125,13161,0.951114244774516
"CHD1_CHD1",2758190,28.1570323992591,1150,9600.5,5.10973795840118,-361.402613122177,9600.5,5.39972790171346
"CHD1_CEBPB",6559755,29.2785054390726,25.64,16443,0.772763668975697,-552.107663141124,16443,1.65565334817608
"CHD1_CEBPB",32437638,30.9993763784244,19.63,29275,0.678246290185312,-552.107663141124,29275,1.5190219901813
"CHD1_BHLHE40",9180725,29.6602406399116,69.75,19226,1.33359646715256,-478.156564171125,19226,0.951416927846033
"CHD1_CEBPB",23935280,30.6849741739701,7.011,27033,0.483071572833541,-552.107663141124,27033,1.17323151787728
"CHD1_CEBPB",7158886,29.3794856658629,22.08,17179,0.717408426409134,-552.107663141124,17179,1.57919612986698
"CHD1_CHD1",8799080,29.6129328145284,152.7,18885.5,2.23493162105037,-361.402613122177,18885.5,0.642146070247547
"CHD1_CEBPB",40973467,31.2390519167218,6.64,30844,0.478681661213376,-552.107663141124,30844,1.16350731628815
"CHD1_BHLHE40",11181694,29.8771728468283,62.53,20919,1.2522602353228,-478.156564171125,20919,0.853095791310107
