"x.prod","y.prod","x.sum","y.sum"
1588.5,34370.0906362176,842.5,31952.6172591503
8929.5,25580.6519365112,11430.5,7442.27377793824
7084.5,33623.8212068582,7119.5,20557.6839703965
10551.5,26931.2086849592,15408.5,4205.87115887735
5274,21478.2317364944,4058,12595.2276881462
6473,22383.4011078283,6045,10757.626430283
10386.5,22504.9335910396,14997.5,250.513533812644
2763,34340.0426686416,1589,30051.1761939796
4310,32237.5751613792,2968,25214.8837453439
7805,31742.0159487974,8703,16763.0498035327
10367,29797.45094863,14931,7610.86638181008
2148,12279.216050156,1161,8995.47959146573
981,29980.4761224276,519,28488.4138432808
2244.5,35183.3266694447,1211.5,31753.1936351652
7823.5,30473.1905565255,8745.5,15443.8584244742
12503.5,39220.1535908909,20533.5,10745.1837899459
13844.5,32937.7870156641,23595.5,824.653942744482
10068,26809.3866278453,14017,5591.14559457162
13554,31881.7314830977,22913,569.764873211405
19397.5,32189.3522104591,34456.5,-13753.4830755324
3353,11574.1247526901,6342,3370.32123564758
4139,13484.8986182158,9363,2315.40664959218
3858,20070.5638456082,8134,10062.5519248225
693,11750.081774738,392,10678.8192335463
2033,9359.19744753143,2645,5200.64977235753
1614.5,10571.8836982206,1898.5,7406.6586027561
701,13985.915312302,411,12892.4504921422
1008,12722.8829278975,837,10983.3795278686
692,14284.6457819557,390,13215.9037125932
3525,17872.3161288771,6946,9058.32108151014
1085.5,20458.2933369742,956.5,18547.575671488
4466,11742.8198072108,10801,-783.595582462514
3675,10268.0669749307,7457,932.626348287896
2652,10163.7955977805,4133,4275.20049911542
3012,11903.3047929089,5255,4834.18025484608
4186,10980.9890008127,9602,-405.492853313309
2674,14240.4052905239,4202,8279.37227549164
2822,18875.9753988941,4623,12456.9748725194
2669,15355.9177481399,4186,9411.56410092369
2783,18575.4323971404,4486,12294.82085736
4734,23420.3227978189,11907,9831.10513425698
471,16149.7773536676,158,15495.3642550783
3830,22653.6625271028,8036,12744.7628782251
724,17632.8875562085,444,16490.2854027646
1220,6476.99680450769,1162,4270.42401976598
2410,14510.792653536,3503,9331.35894849712
1915,18371.7364289874,2432,14494.9758964135
4177,17047.4304134888,9565,5696.54333328097
1841,7259.44839407351,2262,3584.15180864587
4402,21376.7751426425,10538,9103.40264511607
2671,10974.3152553652,4191,5024.24116304568
2026,14073.9468948889,2632,9932.36302107381
1275,12452.3760213399,1261,10114.6518018922
2942,21649.5296586869,5013,14826.1472960587
3930,23187.5916383631,8459,12875.1159843249
588,19350.6056085486,270,18484.1964822494
1385,6926.50069900902,1435,4342.78164483068
733,8571.51835517661,454,7411.66796683114
1574,15064.3072345059,1829,11993.3469815026
352,15223.7438238718,73,14765.3031518538
6402,25211.3458876821,18390,5279.59016554223
7140,26302.1640451286,20921,3793.42608855891
7709,27737.3198398743,22855,3253.5502622669
6397,25193.4738645612,18374,5278.39751023724
6169,24476.2847017041,17499,5420.58702989992
721,13100.1978441008,440,11963.7981032542
1391,13823.9364361057,1449.5,11223.3957973399
1316,19216.9301275556,1338,16779.2640703391
1831,8974.56633517002,2247,5321.07696080829
4454,13609.4602354425,10745,1135.03455396058
2034,21493.3975191389,2647,17332.3293721359
1415,9572.20922536406,1479,6923.74803943304
3261,20067.6596369831,6036,12178.6387045171
2992,14547.4830581156,5167,7561.38402599809
3118,24190.1572517192,5576,16779.7970422579
7574,28587.4584082175,22486,4511.22317060242
3808,15639.3430580413,7935,5824.62537177263
3402,12571.5536098338,6506,4199.39987779045
5457,26060.2461532134,14504,9866.62119393277
6850,29853.388588037,19995,8310.69496190328
6964,25834.2358432456,20365,3907.7192233935
5758,20118.6853555191,15753,2726.76094071916
311.5,1645.48552630494,49.5,1250.05263027543
