"x.prod","y.prod","x.sum","y.sum"
1085.5,24203.5991314391,956.5,23969.5608822164
4466,10929.7345968902,10801,10036.1596894595
3675,11610.4939290431,7457,10860.7390723548
2652,13981.5238703678,4133,13427.8749399566
3012,16273.2242069738,5255,15650.0824742001
4186,9521.81161332715,9602,8678.99216705967
2674,20102.7618716802,4202,19544.8705336165
2822,26556.0116686789,4623,25969.1445555274
2669,21534.0162901292,4186,20977.0859234202
2783,23493.3527897657,4486,22913.8580881535
4734,27675.1568702864,11907,26732.5816189678
471,20731.6534592755,158,20627.5091170676
3830,28346.0137858355,8036,27567.306743158
724,24024.6587767758,444,23866.6032833261
1220,8752.01758323441,1162,8489.85872795427
2410,17942.4994024073,3503,17436.8192749081
1915,24822.0889345749,2432,24416.7239596493
4177,15699.3005173863,9565,14858.128036506
1841,9679.91253976308,2262,9289.44431989104
4402,21858.2548596853,10538,20976.3928278405
2671,15303.4658126588,4191,14746.1369237163
2026,17819.2925777378,2632,17391.0272180583
1275,17042.5456102688,1261,16769.0387170436
2942,29046.5324643935,5013,28436.6626116929
3930,28955.7433918461,8459,28158.8567579626
588,24150.4573543431,270,24021.1772247919
1385,9504.2615133547,1435,9207.81625238191
733,11809.6926739791,454,11649.7176368025
1574,20176.3992594719,1829,19841.5011511414
352,21277.9461666739,73,21199.659189853
6402,20352.7177549049,18390,19101.1258385499
7140,17789.1660594268,20921,16397.4449478081
7709,18609.1413739054,22855,17109.2045320465
6397,20297.87928281,18374,19047.2483378097
6169,17037.4801254999,17499,15829.2015894384
721,17501.6639319064,440,17344.2415560363
1391,18052.7304994695,1449.5,17755.0846240489
1316,25118.0175536904,1338,24836.0835195782
1831,9497.39481749885,2247,9109.02016373537
4454,11763.6298655682,10745,10872.1836086933
2034,28906.3025519596,2647,28476.3926258754
1415,11799.6481569407,1479,11496.9121021481
3261,24999.7047739652,6036,24328.5471589196
2992,15972.2005002834,5167,15352.6603610711
3118,31746.7328498437,5576,31103.0347863576
7574,21205.6338965986,22486,19732.2792974434
3808,14464.756172712,7935,13689.9684818769
3402,14910.9246649091,6506,14212.8574529485
5457,20382.6002788328,14504,19303.929632638
6850,20710.1659209227,19995,19374.2013388665
6964,14585.5464395101,20365,13227.7242071352
5758,12464.329600113,15753,11330.6937705672
311.5,4144.75574455594,49.5,4075.32376762858
3414,29400.5863584743,6543,28700.1986815707
2429,15483.2807707086,3546,14973.7692522671
5953,21397.3896458025,16605,20228.577706069
9084,14079.1850744938,27186,12314.2845209934
6841,21178.817474606,19964,19844.5604309014
5529,14233.2633055937,14793,13141.3462678431
4550,29357.5158180998,11095,28448.05099836
