"x.prod","x.sum","y"
20601,21745,3837.5
20800,22051,7734
18533,18136,16610.5
928.5,1762.5,38093.5
13294,9546,26888.5
10630,6344,30756
18926,18814,5838.5
24268,28443,6447.5
20584,21726,27402
18107,17365,29862
16048,13549,20258.5
19758,20306,11603
14887,11921,18814.5
17811,16787,15889.5
4031,2442,572
2155,1993,32404.5
11688,7344,23346.5
8131,4214,27773.5
6321.5,3286.5,37156.5
10096,5827,35636
10597,6320,20807.5
12658,8622,35363.5
9274,5067,35225.5
12400,8262,15738
17936,16996,23273.5
24287,28464,2828
12260,8051,2782
3729,2347,32904.5
7945.5,4091.5,36705
18937,18823,23369.5
25801,30996,15264.5
22915,25753,31969
778.5,1726.5,36421.5
10880,6566,35887
22851.5,25646.5,28722
9605.5,5351.5,38168
6260,3261,36516.5
9094,4924,35623.5
17188,15572,35505.5
9645.5,5395.5,36828.5
27107,32956,26916
15732,13131,35378
22404,24835,31959
22476,24979,30922
14365,11082,34570
17894,16936,35701.5
17514,16184,35335
18681,18399,24649.5
21170,22608,35520.5
4157,2486,37650
6105,3188,4100.5
13116,9252,34356.5
18460,17980,19972
15586,12907,18135.5
23998,27911,12429.5
13565,9923,35789.5
24170,28260,14655.5
21193,22638,32476
11985,7678,35866.5
17575,16314,20816
23391,26655,21726.5
5046,2762,25662.5
11637,7278,35335
7757,3992,35849.5
11029,6700,19920
27830,34164,19697
15574,12888,20148.5
2426,2045,37773
26036,31263,13463.5
25985,31221,9282
27199,33106,9282
26573,32066,13156.5
26983,32746,12556.5
5203,2828,36802
7934,4083,33779.5
3271,2236,7241
2478,2065,35809
14388,11126,32323.5
14095,10713,11329.5
10565,6280,27749.5
17778,16743,17815
17354,15874,31688
15236,12460,24099
30489,37033,18764.5
24422,28696,16925
20667,21867,32630
23189,26274,7133
26670,32217,4295.5
28388,35053,9023
26547,32027,16339
1191.5,1806.5,37923.5
18524,18118,25913
20297,21202,28863
27633,33848,6853.5
32007,38098,7059
27387,33424,25566.5
22322,24708,31041.5
16893,15004,16981.5
24967,29637,12586.5
19847,20456,20272
27789,34096,12472
7307,3760,504.5
4132,2479,33230.5
18860,18711,19364.5
12459.5,8338.5,36415.5
18239,17604,33730.5
17465,16087,19269
22809,25597,31764.5
18405,17903,33099.5
5093,2776,35951.5
21936,24021,15413.5
28259,34884,22341.5
30647,37173,6434.5
15091,12205,4341
5747,3048,33054.5
15226.5,12438.5,34690.5
10131,5869,35126.5
2387.5,1308.5,38346.5
1546.5,809.5,38409.5
5874.5,4852.5,37697.5
6145.5,5332.5,35140
1280.5,679.5,24871.5
599.5,356.5,38441.5
5364.5,4089.5,20769.5
6557.5,6068.5,14584
2809.5,1603.5,38452.5
4382.5,2988.5,38235.5
7937.5,8727.5,37752
10509.5,14955.5,33507.5
2195.5,1175.5,24460.5
995.5,535.5,38407.5
10184.5,14035.5,19338.5
13708.5,22922.5,14648
2387.5,1308.5,38346.5
2340.5,1278.5,38351.5
8154.5,5603.5,37623.5
8473.5,6050.5,35536.5
1926.5,1133.5,35749
842.5,789.5,38359.5
7457.5,4762.5,28429
8969.5,6753.5,20994
4112.5,2134.5,38278.5
6249.5,3567.5,38349.5
10572.5,9517.5,37699.5
13606.5,15607.5,33607
3262.5,1682.5,35255.5
1489.5,989.5,38332.5
13224.5,14708.5,23869.5
17288.5,23254.5,17722.5
25121,20510,15491.5
27359,22172,16905.5
26580,21639,18003
10391,15020,16525
5437,14384,18962.5
20070,17848,30534
17944,17017.5,26170
10540,15045,25123
13645,15688,29883
10390,15019,26078
25836.5,21044.5,30244
25644,20904,28722
25839.5,21046.5,30940.5
14272,15839,27359
26274.5,21379.5,30658.5
28823.5,23412.5,27639.5
28199,22831,19873
26095,21234,16708
26004.5,21163.5,29804.5
22755,19122,19852.5
24097,19844,23156.5
27513,22278,14113
30244.5,25043.5,27639.5
26133.5,21256.5,30835
22875,19176,18823
27048.5,21955.5,29618.5
26767.5,21758.5,29883
23410,19464,23193.5
22855,19164,23744.5
23261,19381,8609.5
28796,23378,20540.5
7216,14540,26305.5
30128,24900,12271.5
20002,17828,5405
26527,21578,6092.5
10780,15079,532
28427,23044,23619
15297,16125,19444.5
21724,18588,2196
19499,17617,2155
27488,22257,1104.5
20754.5,18133.5,30610.5
19079,17456,23578.5
28031,22711,3258
22864,19172,22720
20032,17838,8401
28402,23025,17668
24818.5,20309.5,31216
15731,16249,24771.5
23840,19694,7478
26789,21776,4471
19541,17639,13746.5
9138,14808,4859.5
16723,16578,8463
23780,19671,4623.5
16430,16477,22545.5
10902,15102,22618.5
12669,15445,12592.5
17722,16934,2971
4588,14303,23139.5
31702,26912,1668
32707,28595,675
33370,29730,995.5
31696,26898,1402
31332,26436,1344
10766,15078,19867.5
16463,16492,17668
16003,16350,6017
