"x.prod","x.sum","y"
10801,6184,25332
14212,9456,7559.5
20057,17839,20841.5
4552,3190,11169
21157,19545,18942
27965,31216,20223
12545.5,7584.5,38395.5
7486,4165,23149
10608,6039,27914.5
17791.5,13971.5,36405.5
24718.5,25474.5,33528
16282,12117,27710.5
20027,17789,28147
20907,19153,18401
5087.5,3329.5,30222
7331,4069,5724.5
14989.5,10410.5,36036.5
17635,13751,7965
15459.5,11045.5,36803.5
26313,28667,9786
19702,17254,15847
25539,27073,11950
6103,3639,4914
13343.5,8418.5,36390
2999,2827,14742
29042,33011,6756
6286,3711,22349
3064,2843,15447.5
16310,12150,27372.5
12236,7306,21687
19924,17618,17550
32306,37113,15268
22892,22375,28514
30305,35193,7541
20731,18882,18029.5
22509,21843,23890
33541,38125,6439.5
24556,25209,27974.5
27122,29916,10867.5
19564,17054,11696
25007,26059,27438
20596,18666,27574
24166,24541,9067
30186,35043,21911
6924,3911,16661.5
13141,9292,18805.5
15126,12267,13788
14448,11241,31767.5
3695,2344,20364.5
1614.5,1898.5,11048
9421,5198,29748.5
3772,2354,25009
5386,2894,27511.5
3694,2343,27782
13622,9995,32008.5
5744.5,3045.5,31670
15901,13358,27141
14009,10578,24337
11352,6992,30312
12329,8147,31044.5
15239,12470,25080.5
11435,7062,28525.5
11806,7487,34258.5
11418,7049,33266
11706,7367,20604.5
16478,14254,33829
2290,2016,24724.5
14405,11141,13596.5
3888,2394,1831
6358,3302,26553.5
10566,6281,16435
9046,4878,13031
15225,12433,12697
8752,4674,30539
15743,13138,13240
11428,7054,31221.5
9409,5175,24072.5
6628,3426,29069
12132,7881,16521.5
14634,11501,20400.5
3103,2198,9163
7074,3625,27820.5
3939,2419,21166.5
7863,4035,14723.5
1340,1841,17632.5
19763,20313,15396.5
21094,22488,10673
22105,24297,11600.5
19756,20304,15086
19318,19528,12434
3883,2392,25373.5
7095,3633,26664.5
6796,3515,7969.5
8715,4638,23705.5
15871,13321,26753.5
9424,5200,9828
7157,3662,18464.5
12924,9002,15361.5
12273,8066,28299.5
12557,8497,20439.5
21882,23915,19454.5
14340,11051,17816
13270,9495,30785.5
18011,17137,7717.5
20601,21745,6643.5
20800,22051,9744.5
18533,18136,16370.5
928.5,1762.5,18823
13294,9546,23441.5
10630,6344,25461
18926,18814,8091
24268,28443,9003
20584,21726,26159.5
18107,17365,27858.5
16048,13549,18716.5
19758,20306,12495.5
14887,11921,17129.5
17811,16787,15559.5
4031,2442,702
2155,1993,11347
11688,7344,19477.5
8131,4214,20299
6321.5,3286.5,32168.5
10096,5827,31392
10597,6320,16614.5
12658,8622,32385.5
9274,5067,30006
12400,8262,13667
17936,16996,21827
24287,28464,5981.5
12260,8051,4634
3729,2347,17250
7945.5,4091.5,32219.5
18937,18823,22138
25801,30996,16208
22915,25753,30700.5
778.5,1726.5,7159
10880,6566,32369
22851.5,25646.5,27677.5
9605.5,5351.5,38289.5
6260,3261,29514
9094,4924,30571.5
17188,15572,33768.5
9645.5,5395.5,33798.5
27107,32956,26525
15732,13131,33319
22404,24835,30640
22476,24979,29604
14365,11082,31989
17894,16936,34173.5
17514,16184,33615
18681,18399,23249
21170,22608,34340
4157,2486,30877.5
6105,3188,3372
13116,9252,31245.5
18460,17980,19097.5
15586,12907,16805
23998,27911,13566.5
13565,9923,33305
24170,28260,15493
21193,22638,31001.5
11985,7678,32851.5
17575,16314,19625.5
23391,26655,21444.5
5046,2762,14114.5
11637,7278,31783
7757,3992,29680
11029,6700,16219
27830,34164,20115
15574,12888,18478
2426,2045,25636
26036,31263,14582.5
25985,31221,11323.5
27199,33106,11391
26573,32066,14393
26983,32746,13918.5
5203,2828,28702.5
7934,4083,26458.5
3271,2236,2612
2478,2065,16871.5
14388,11126,29203.5
14095,10713,11120
10565,6280,22516.5
17778,16743,17112
17354,15874,29465
15236,12460,21762
30489,37033,19508.5
24422,28696,17451.5
20667,21867,31090
23189,26274,9476.5
26670,32217,7405
28388,35053,11265.5
26547,32027,17138
1191.5,1806.5,18516
18524,18118,24387.5
20297,21202,27382
27633,33848,9539.5
32007,38098,9877
27387,33424,25361.5
22322,24708,29685.5
16893,15004,16293.5
24967,29637,13788
19847,20456,19647.5
27789,34096,13910.5
7307,3760,1201.5
4132,2479,18823
18860,18711,18664.5
12459.5,8338.5,34109.5
18239,17604,31896.5
17465,16087,18244
22809,25597,30505
18405,17903,31183.5
5093,2776,25684.5
21936,24021,15889
28259,34884,22454.5
30647,37173,9298.5
15091,12205,6375
5747,3048,22098.5
15226.5,12438.5,32466
10131,5869,30568.5
2387.5,1308.5,37343
1546.5,809.5,37529
5874.5,4852.5,31426
6145.5,5332.5,21903
1280.5,679.5,7398.5
599.5,356.5,33805
5364.5,4089.5,9426.5
6557.5,6068.5,6663
2809.5,1603.5,38421.5
4382.5,2988.5,36755.5
7937.5,8727.5,32437.5
10509.5,14955.5,20383.5
2195.5,1175.5,9227.5
995.5,535.5,36287
10184.5,14035.5,9405
13708.5,22922.5,7203.5
2387.5,1308.5,37343
2340.5,1278.5,37348
8154.5,5603.5,34412.5
8473.5,6050.5,27558
1926.5,1133.5,17754.5
842.5,789.5,31095.5
7457.5,4762.5,18493.5
8969.5,6753.5,13218
4112.5,2134.5,37696.5
6249.5,3567.5,38453.5
10572.5,9517.5,35443
13606.5,15607.5,25955.5
3262.5,1682.5,21257
1489.5,989.5,34897
13224.5,14708.5,16549
17288.5,23254.5,12374
25121,20510,22783.5
27359,22172,26406.5
26580,21639,26650
10391,15020,7885.5
5437,14384,3813.5
20070,17848,30870.5
17944,17017.5,24470
10540,15045,12968
13645,15688,21677
10390,15019,13388.5
25836.5,21044.5,35114
25644,20904,34085.5
25839.5,21046.5,35493
14272,15839,20422.5
26274.5,21379.5,35575
28823.5,23412.5,35288.5
28199,22831,29651.5
26095,21234,25012.5
26004.5,21163.5,34913.5
22755,19122,24425.5
24097,19844,28738
27513,22278,23748
30244.5,25043.5,35947.5
26133.5,21256.5,35609.5
22875,19176,23579.5
27048.5,21955.5,35419
26767.5,21758.5,35401.5
23410,19464,28096
22855,19164,28024
23261,19381,14436
28796,23378,30650
7216,14540,8872
30128,24900,24288
20002,17828,9007
26527,21578,14525.5
10780,15079,808
28427,23044,32753
15297,16125,15309.5
21724,18588,6852
19499,17617,5663
27488,22257,7749.5
20754.5,18133.5,31583.5
19079,17456,23592
28031,22711,12009
22864,19172,27106.5
20032,17838,11550
28402,23025,27934.5
24818.5,20309.5,35026.5
15731,16249,20329
23840,19694,13809
26789,21776,12774.5
19541,17639,15531
9138,14808,2136
16723,16578,8936
23780,19671,10831
16430,16477,19338.5
10902,15102,11835
12669,15445,7997.5
17722,16934,5531
4588,14303,4180.5
31702,26912,11364.5
32707,28595,8807.5
33370,29730,10298
31696,26898,10691
31332,26436,10368
10766,15078,10007.5
16463,16492,15341
16003,16350,6784.5
20415,17985,22616
19033,17424,19559
28170,22817,27529.5
2860,14171,935
16070,16364,20468
20079,17850,12592
16577,16529,17978
24858,20339,19782
23996,19786,30516.5
13071,15539,16678
24414,20029,16765.5
25927,21123,28713.5
33239,29521,20980.5
26445,21508,12040
9767,14902,10317
23263,19383,29967.5
25265,20619,28253
30145,24925,7930
32349,28005,8577
32512,28253,11080.5
8748,14747,8657.5
30662,25537,13544
3291,14200,7088.5
25301,20645,18885
21829,18635,22801.5
24210,19925,18478
30996,25962,8492
34754,31961,10490
22596,19056,22328.5
33701,30202,30973.5
32334,27989,31037.5
30261,25067,29800.5
28344,22974,19953
31697,26904,15500.5
12086,15333,13477
9295,14826,7294.5
7637,14602,3504.5
15986,16343,20499.5
27100,21982,9907.5
8123.5,14651.5,11749.5
29985,24748,11273
15412.5,16156.5,30795
11098,15132,482
6908,14509,4773.5
23223,19359,7833
21770,18612,12276
18098,17082,10821
4763,14312,912
4445,14291,1045.5
15240,16112,25035.5
21314,18366,18132
21109,18280,22815.5
21787,18622,10173.5
20832,18165,17138
31325.5,26433.5,28745
24977,20421,12930
24533,20116,29629.5
19832,17758,24431
24188,19914,7908
27228,22065,25454
30080,24852,23441.5
34769,31974,7378.5
23983,19778,5352.5
6694,14486,6128.5
10464,15031,8046.5
22357,18916,25579
20769,18139,24175.5
17828,16976,25962
26417.5,21492.5,29887.5
31003,25970,28036
35571,33955,31384
33893,30516,31145.5
2686,14163,2945
22147,18810,32106.5
33861,30460,31053.5
20327,17944,28121
15149,16080,19817.5
19574,17652,27968.5
35672.5,34245.5,38231.5
33544.5,29975.5,36062.5
29437,24085,35870
20401,17976,27520
33942.5,30622.5,36190.5
32467.5,28177.5,35999.5
36138,35389,33038
28024,22702,30657
33560,30002,33554
33615,30068,31235.5
26470,21533,28255.5
34421.5,31370.5,36036.5
34765.5,31970.5,35559
30054,24828,31198.5
29729,24405,32270.5
30800,25708,21920.5
32747,28682,32616
11400,15188,15027.5
37163,37311,28155
14885,16011,1753
35102,32690,35178.5
25093,20483,26995
30586,25448,11961.5
27866,22574,11116.5
34600,31667,10891
30404.5,25247.5,34583.5
25569,20850,30505
34706,31853,17538.5
32761,28709,32999
34449,31429,31181.5
33699.5,30200.5,36433.5
23608,19590,28802
29789,24482,19920.5
34198,31053,18401
28144,22797,22653.5
13003,15526,6008
23039,19268,13330
23148,19331,27032.5
17576,16891,22210.5
18639,17283,12935
22370,18923,7606.5
36464,35931,25100
27856,22559,11656
7528,14590,9567.5
35659,34205,11661
35636,34154,8435.5
36181,35469,9698
35879,34886,11782
36068,35284,14302
13311,15604,13230.5
17803,16972,14436
9502,14852,1507
4630,14305,6097.5
7650,14603,6908
26508,21562,24814.5
197,14042,61.5
14467,15887,17261.5
26192,21306,17121
21723,18587,23170
29959,24721,25488.5
29574,24242,33426.5
17190,16734,21510
27506,22272,17886.5
30120,24893,31290
37382,37763,24501.5
34851,32120,18357.5
14214,15829,16040.5
26528,21584,32320.5
32409,28092,32267
34079,30872,10811
35930,34991,9881
36688,36317,14801.5
11006,15118,11552
35869,34856,18305.5
4122,14256,8548
30655,25525,22595
32113,27608,30249.5
33410,29795,25776.5
36370,35772,12842
37788,38361,13488.5
26817,21795,25358.5
37068,37051,31189.5
36267,35627,31705.5
33517,29940,31736
29174,23771,15353
35159,32844,18431
17475,16844,20767
12674,15448,9755.5
8984,14784,3418
22800,19136,28007
31776,27036,14405.5
8965.5,14779.5,13928
36441,35886,14418.5
24412.5,20027.5,34227.5
16834,16617,686
11331,15174,9771
30943,25890,11498
30956,25910,18985.5
7878,14623,2855.5
5498,14387,1767
24263,19959,31880
23953,19768,26936.5
30374,25212,30416.5
29676,24357,15789.5
23508,19531,26242.5
37498.5,37917.5,27943.5
26901,21860,17147.5
33840,30416,33110
30534,25396,31860.5
13085,15544.5,16871.5
33268,29572,13488.5
34325,31242,32140.5
36633,36219,29258.5
37420,37839,10524.5
27336,22136,6971
11677,15249,12257
14276,15841,12131
31151,26150,31442.5
27491,22260,31974
21182,18303,25677.5
36195.5,35488.5,30299.5
34803,32055,32157
1546.5,809.5,37529
2340.5,1278.5,37348
5783.5,4827.5,31772.5
6052.5,5306.5,25421
1263.5,663.5,19396
584.5,341.5,32919
5272.5,4056.5,18164.5
6471.5,6043.5,13589
2760.5,1587.5,37575.5
4308.5,2965.5,36789.5
7803.5,8701.5,32880
10364.5,14929.5,23181.5
2146.5,1159.5,22232
979.5,517.5,35825.5
10066.5,14015.5,15918.5
13552.5,22911.5,12203.5
20528,14794,26859.5
22870,17402,23087.5
22061,16457,30610.5
7421,7839,12011.5
3594,7181,6446
15696,11362,28599.5
13786,10256,30690.5
7525,7866,20609.5
10122,8647,23821.5
25836.5,21044.5,35114
7420,7838,20356
21134,15390,32953.5
21341.5,15633.5,37425
10646,8833,26001
21732.5,16104.5,37666.5
24430.5,19236.5,35771
23736,18395,33890
21556,15891,28991
21494.5,15795.5,35281.5
18217,12933,32830
19462,13817,32024.5
23033,17570,27457.5
26029.5,21280.5,37516.5
21591.5,15941.5,36932.5
18302,13000,28607.5
22534.5,17037.5,36397.5
22228.5,16675.5,36554
18800,13351,31767.5
18289,12989,32541
18666,13238,17031
24405,19185,33656.5
4888,7359,16395
25880,21108,26136.5
15641,11332,5753
21983,16383,16064.5
7724,7910,10438
23975,18690,24981
11596,9176,21980.5
17268,12340,8493.5
15220,11075,6160
23000,17540,8443
16317.5,11742.5,34106.5
14850,10836,29103.5
23553,18214,11084.5
18295,12994,30666.5
15667,11349,14016
23954,18654,27844
20188.5,14459.5,36126
11954,9359,26608
19225,13649,13533
22250,16708,13172
15248,11101,15134
6383,7614,4258
12754,9745,8072
19181,13609,10999
12506,9627,24855
7829,7938,18271
9328,8376,5681
13631,10181,6667
2995,7113,8574
27733,23507,13112
28909,25381,8873
29803,26940,11364.5
27724,23494,12448
27297,22885,9605.5
7718,7909,15112.5
12535,9640,26495.5
12157,9470,11139.5
16005,11575,30912.5
14791,10804,27682.5
23716,18358,33621
1808,6986,1534
12204,9496,28263.5
15700,11365,9920
12629,9696,19788
20249,14508,17188.5
19377,13768,29910
9673,8501,22167.5
19781,14067,19468.5
21425,15725,31834.5
29626,26648,21267
21908,16303,13102.5
6894,7712,16141.5
18667,13239,32972
20692,14950,31560.5
25909,21143,8161.5
28498,24681,7997.5
28652,24963,10610
6075,7557,13467.5
26496,21904,15073
2084,7015,11631
20732,14994,21539.5
17346,12400,27301
19600,13921,20817
26885,22367,9489
31605,30175,10344
18069,12835,27629.5
30222,27841,31553
28482,24665,32448
26053,21319,32676.5
23912,18601,23371
27727,23501,16126
8816,8221,20695.5
6506,7632,11784.5
5220,7411,6734
12151,9466,26708
22570,17091,12275
5568.5,7469.5,16964
25731,20908,13235
11683.5,9226.5,34045
8001,7987,6754
4642,7332,8728
18637,13208,9490.5
17309,12366,13457.5
13962,10340,15951.5
3135,7128,3598
2903,7104,2426.5
11541,9156,30828
16841,12087,23220.5
16626,11958,28165.5
17320,12375,12634.5
16387,11800,24103.5
27287.5,22876.5,29693.5
20406,14656,12239
19908,14190,33379.5
15511,11259,29751
19573,13898,9203
22683,17239,29055
25828,21034,30469
31626,30197,6035.5
19363,13753,4530
4482,7313,9103.5
7459,7853,14733.5
17826,12705,30762.5
16326,11754,29258.5
13718,10219,33023
21883.5,16275.5,31379
26892,22377,31406.5
32849,32286,27253
30473,28325,32794
1692,6973,5941
17647,12599,31259.5
30418,28239,30785.5
15932,11510,33460.5
11447,9120,27591.5
15268,11119,30165
33011.5,32667.5,34671.5
30013.5,27386.5,38168.5
25134,20047,35071.5
15981,11560,31695.5
30546.5,28457.5,37508
28607.5,24875.5,36380
33682,34184,35070
23546,18209,35958
30036,27440,34605.5
30103,27603,33475.5
21930,16330,32608.5
31184.5,29544.5,35993
31616.5,30188.5,35624.5
25795,20997,33486
25441,20495,34564.5
26650,22079,23256.5
28965,25488,34477
8232,8043,23400
35410,36797,27786
11205,9042,15911
32096,31027,29170
20500,14755,31162.5
26395,21806,13362
23413,18017,11506
31399,29880,11145
26215.5,21565.5,35310
21052,15340,33628.5
31530,30071,15244.5
28989,25526,34119
31231,29604,29963.5
30220.5,27837.5,36275
19046,13481,33385
25500,20578,18471.5
30891,29096,17714
23690,18328,20732
9619,8479,8008.5
18452,13095,11797
18559,13167,31350
13488,10104,29000.5
14457,10619,9350.5
17834,12708,7692.5
34174,35178,26434
23396,17998,16856.5
5134,7400,16324
32993,32610,13382
32973,32548,9207.5
33750,34297,10623
33321,33413,12756
33609,34030,13190.5
9864,8566,19752
13699,10215,27641.5
6671,7657,3418
3028,7121,11545
5232,7414,12829
21955,16368,33624.5
147,6866,219
10817,8911,25560.5
21649,16020,13116
17267,12339,25113.5
25709,20864,21484.5
25286,20276,32519.5
13151,9941,27844
23023,17563,20509
25872,21095,33093
35770,37437,24097.5
31725,30353,17897.5
10611,8820,23397
22001,16392,34569.5
28541,24776,33695
30730,28783,10430.5
33402,33548,8904.5
34569,35704,13826.5
7932,7966,18409
33310,33370,18685.5
2660,7069,13347.5
26484,21891,24425.5
28206,24230,32426
29847,27049,26726.5
34041,34947,12640.5
36556,38235,12958
22288,16741,29245.5
35246,36602,31193
33886,34597,32628
29969,27306,33719
24822,19664,18991
32191,31143,18796
13402,10054,28091.5
9332,8379,14909.5
6255,7594,6048.5
18247,12953,32916
27806,23606,16678
6240.5,7589.5,19667.5
34148,35131,15411
19778.5,14062.5,35626.5
12842,9790,9806.5
8197,8030,16064.5
26822,22283,12212
26836,22297,19284.5
5391,7438,7903
3641,7187,4396
19667,13963,34934
19341,13729,31921.5
26177,21504,33007
25389,20413,16830
18939,13420,32606
35953.5,37694.5,27376
22379,16841,17892.5
30384,28182,34524.5
26350,21738,34100
9684,8506,24267.5
29665,26724,13885.5
31067,29341,33645
34468,35622,33310
35843,37545,9430
22817,17355,6634
8472,8110,16796
10648,8835,20857
27057,22591,33641.5
