"x.prod","y.prod","x.sum","y.sum"
27340,34308.0200029581,22120,31172.4653614687
28125,27988.9152648401,23082,24692.6482159978
12354,22873.3264632079,11201,21195.755114629
24930,24351.8598689334,19426,21653.6109032799
32737,27711.0977708491,30614,23064.0768814922
26997,27817.9181471824,21801,24730.6726013668
32129,28149.6335231945,29643,23675.9375431096
10665,18506.7772193301,10673,16841.5953490837
5876,19095.48687561,9608,17372.0002972509
34605,27829.4124303378,34403,22475.6464277072
10958,17855.8048604376,10738,16194.2244974215
5979.5,23292.536459944,9622.5,21572.151597364
23511,18719.8610704443,18022,16239.6942584691
18696.5,32350.1719386959,13942.5,30462.0043378438
27245,28945.1795029267,22045,25820.1175946545
36442,32022.95806282,37541,26101.3478497613
29878,22809.7626010677,25703,19052.3828563016
35394,27971.7104453199,35875,22347.193200707
27961,28200.2896662251,22871,24939.7652365656
29563.5,25286.0462951285,25200.5,21618.3722493634
37066,28586.6207157628,38284,22541.9513812592
31293,24009.7561389956,28228,19791.6536849387
33250,28926.3860224068,31568,24103.9913232525
26889,20559.4979888569,21669,17494.2871680303
31676.5,24773.1576676168,28958.5,20420.2060026569
27848.5,28002.229450685,22729.5,24765.5227998137
30991,20373.0427383667,27628,16266.4821779735
35345,25987.9120514888,35783,20380.3355913966
11816,30825.7418009479,11011,29156.8341211259
21276,29560.2978744032,15660,27456.1925590403
23588,25366.9789617173,18098,22875.0184642058
7882,46078.929860533,8881,44633.5318859189
16386,40640.6450306478,12242,38980.9496449611
8005,39466.3992367292,8909,38022.3589148825
10653,39692.4677662851,9677,38241.9328754699
7880,43466.6284198579,8880,42021.326156169
21834.5,37354.4752406093,16239.5,35158.7180712858
24495,34890.2941058786,19071,32242.5945878087
22293,34732.8579393073,16722,32460.3975103112
18941,39072.4423482424,13677,37256.4192330657
20229,44431.3059375454,14680,42476.0165984333
23752,34141.934003513,18253,31626.340050432
19038,40357.9898970988,13719,38538.7303299736
19511,40351.4832255217,14082,38482.2342889456
19011,42835.0579249553,13710,41016.1173975287
19360,45510.8168929485,13977,43655.1730656217
25135.5,40521.4876079986,19763.5,37762.6431633927
5211,47136.2607491258,8344,45646.0210159714
22718,32661.5399163027,17206,30310.033095702
8216,23511.9116898028,8969,22067.612560793
12129,41639.890439273,10206,40163.9140142131
17972.5,36948.8074964494,13075.5,35204.4859580725
15875,38338.9279392194,11982,36704.6597526885
23723.5,28621.3505488868,18227.5,26109.5531209646
15478,41642.0009048689,11765,40030.731685666
24322,32298.3687091255,18877,29682.1934555141
19024,40847.2066301488,13713,39028.4008044349
16363.5,38477.4265162798,12220.5,36821.0242879119
12494,43721.7106977611,10344,42237.88948924
19973,33388.9473732757,14447,31468.6137143529
23037,36830.8694993054,17485,34438.256695939
6797,38566.7995342427,8638,37108.5623346749
13106,41035.9792858577,10618,39529.790056318
8310,41374.0771255866,8993,39930.2529895807
14264.5,28977.3251167208,11142.5,27427.5342035943
3233,41778.7344916241,8055,40231.7883182347
28423,30905.7637309398,23970,27435.4380415716
29545,27692.9200146029,25809,23892.5520837842
30431,28202.3544841019,27351,24121.9442775457
28412,31504.7364400364,23956,28036.7751588048
27983,29115.4796865238,23331,25756.812892716
8210,42573.5936059532,8965,41129.7978447832
13132.5,36677.8426441998,10638.5,35168.8175406846
15409,37913.4940708164,11730,36305.634996062
24461,34505.6079966323,19049,31860.6167396119
13231,35624.3121933223,10684,34111.3842082374
21012,29858.7083339301,15387,27797.7260047798
20141.5,37474.2958503676,14608.5,35529.1943872697
30248,35270.035779818,27024,31249.3064806052
22644.5,35553.3569181664,17131.5,33213.5303477494
21435,44912.0739174394,15807,42785.7637166748
29321,32144.0726246407,25394,28419.9435419856
27224.5,37268.5364251207,22353.5,34075.5306270132
21475,44727.0414038701,15851,42593.6273430547
18046,39001.0744559591,13127,37250.0460738827
32211,27429.1674693351,30426,22791.1009234425
29138.5,35450.5205019216,25093.5,31780.3722284348
26775,37429.1071136599,21870,34313.5631689168
28417,28956.5590719815,23958,25488.4666309694
23341.5,33944.6129971086,17812.5,31499.5330103361
26474,31518.0410098832,21474,28469.9872677102
8464.5,18776.1905448614,9021.5,17335.5141992865
4977,34553.0901503352,8308,33056.533555192
19338,36919.0883843903,13950,35067.9571382721
14621,39902.5791088483,11307,38338.7009554583
17336,43529.0114861849,12738,41819.3124747162
18022,38210.3027428025,13110,36461.50406715
20677,44875.1114174944,15088,42858.5955792851
16182,42595.9342122075,12139,40946.2175759465
20343,37138.1315356253,14781,35167.8723309429
26577,29252.9808176575,21622,26179.1312791146
7944,42136.1265300924,8896,40691.2212778324
27611,33022.9734065377,22822,29751.9527706421
33309,29023.4125960839,32501,24002.8260438397
31114.5,45666.5745030534,28675.5,41340.9500781783
18354,42034.6652548841,13315,40261.5453981469
11995,38943.1657764832,10145,37472.3045730184
15952,38381.1740523402,12018,36743.7615828539
25792.5,38748.2881102331,20650.5,35837.235343191
34164,35141.6496567698,34350,29772.7685398178
24317,41895.7562175511,18858,39283.3881198172
30694,44309.2977334484,27867,40133.1591579302
30762,38991.2395280922,28010,34788.2771590869
22660,40979.2573437452,17154,38635.4995464569
26543,39099.8137393369,21580,36032.997163134
26149,42054.2908284463,21048,39078.7680511062
27373,45918.559164774,22529,42696.5530301939
29609.5,40055.2384340586,25901.5,36238.7556632674
8701,46486.1798761007,9072,45048.8356392532
11763,23941.1617945553,10050,22476.8621220482
21248,41268.1007240679,15627,39169.4438278826
27138.5,33392.0343329583,22242.5,30217.8480890183
24137,37535.7567559622,18673,34952.5449726181
32004.5,25660.0607648092,30097.5,21080.5833202186
21765,41895.2864835893,16162,39712.0993179218
32128,33520.2731460112,30297,28905.0991716567
29631,40015.4640589134,25937,36192.6005778303
19747,43069.0820312188,14272,41172.970280834
26220,34149.1411302766,21142,31157.5708638203
31482,36428.4848944535,29343,31980.6698746251
10108,38469.2753351866,9505,37023.0900474789
19280,41467.5679468574,13888,39626.3480746968
14120,42454.5084104457,11083,40908.8756145857
18534.5,26394.0572989044,13423.5,24608.3532412485
34657.5,29710.7805107311,35303.5,24165.4585911546
24122,36571.960717533,18648,33993.2508797564
5465,42205.4031187565,8398,40718.7932578235
33472,28257.9986338007,32848,23172.2012315285
33434,26748.8485338322,32771,21677.4112728796
34232,26579.4890798813,34492,21184.0004045068
33826,28563.918458163,33613,23334.0340042052
34099,30642.5223677913,34199,25302.3757110516
10350,43232.6457005075,9578,41785.2586739588
14358.5,34997.8796985276,11170.5,33447.6988381469
5586,47599.0936565904,8410,46117.1806853179
22689,36474.2484259689,17179,34126.8323520889
17971,35707.6139975392,13074,33963.5264186545
26442,30807.9577652151,21451,27762.9490432956
25966.5,35776.6565374285,20839.5,32835.2209433202
