"x.prod","x.sum","y"
5568.5,7469.5,26535.5
25731,20908,6353.5
11683.5,9226.5,35620
8001,7987,8560
4642,7332,17648
18637,13208,4280.5
17309,12366,9452
13962,10340,14379.5
3135,7128,11526
2903,7104,8994.5
11541,9156,32545
16841,12087,20049
16626,11958,25391.5
17320,12375,8460.5
16387,11800,21191
27287.5,22876.5,24910
20406,14656,6584.5
19908,14190,30963
15511,11259,28062.5
19573,13898,3697
22683,17239,24217.5
25828,21034,25809
31626,30197,668.5
19363,13753,749.5
4482,7313,18599
7459,7853,20402.5
17826,12705,27978.5
16326,11754,26856.5
13718,10219,33238.5
21883.5,16275.5,27367
26892,22377,27246.5
32849,32286,23927.5
30473,28325,30757
1692,6973,23522.5
17647,12599,28700.5
30418,28239,27489.5
15932,11510,32563.5
11447,9120,29174
15268,11119,28695.5
33011.5,32667.5,35395.5
30013.5,27386.5,38293.5
25134,20047,33076
15981,11560,30180.5
30546.5,28457.5,37652.5
28607.5,24875.5,35736.5
33682,34184,36410
23546,18209,34412
30036,27440,33489.5
30103,27603,31749.5
21930,16330,29155.5
31184.5,29544.5,36102
31616.5,30188.5,35736.5
25795,20997,30538
25441,20495,32313
26650,22079,17298.5
28965,25488,32913.5
8232,8043,28881
35410,36797,27877
11205,9042,16848
32096,31027,26091.5
20500,14755,27429
26395,21806,6388
23413,18017,4924
31399,29880,3852
26215.5,21565.5,33501
21052,15340,31067
31530,30071,8477.5
28989,25526,32371
31231,29604,26654.5
30220.5,27837.5,36092.5
19046,13481,31213.5
25500,20578,12096.5
30891,29096,11318.5
23690,18328,14789
9619,8479,8560
18452,13095,6894
18559,13167,28415
13488,10104,28695.5
14457,10619,6191.5
17834,12708,2881.5
34174,35178,23997.5
23396,17998,10734
5134,7400,26745
32993,32610,6578
32973,32548,2291.5
33750,34297,3567
33321,33413,5858
33609,34030,6500.5
9864,8566,22513.5
13699,10215,26879
6671,7657,4287
3028,7121,26992.5
5232,7414,22313.5
21955,16368,30914
147,6866,29905.5
10817,8911,27501.5
21649,16020,7176
17267,12339,21704.5
25709,20864,15413
25286,20276,28773.5
13151,9941,27638
23023,17563,14710
25872,21095,29876.5
35770,37437,23062
31725,30353,11754.5
10611,8820,25468
22001,16392,32365
28541,24776,31517
30730,28783,3162.5
33402,33548,2095
34569,35704,7626.5
7932,7966,23806.5
33310,33370,13287
2660,7069,31367
26484,21891,18582.5
28206,24230,29145.5
29847,27049,21704.5
34041,34947,5913.5
36556,38235,7897
22288,16741,24497.5
35246,36602,32897.5
33886,34597,33094.5
29969,27306,32174
24822,19664,12709.5
32191,31143,12899
13402,10054,27705
9332,8379,17967.5
6255,7594,9840
18247,12953,30769
27806,23606,9885.5
6240.5,7589.5,28224.5
34148,35131,9509.5
19778.5,14062.5,34201.5
12842,9790,7907.5
8197,8030,20796.5
26822,22283,5065
26836,22297,12831
5391,7438,14675.5
3641,7187,11989.5
19667,13963,33297
19341,13729,28894.5
26177,21504,29785
25389,20413,10289.5
18939,13420,29964
35953.5,37694.5,28600.5
22379,16841,12127
30384,28182,33568.5
26350,21738,31660.5
9684,8506,27631.5
