"x","y"
13844.5,28112.5012086957
10068,24282.5167997537
13554,25949.0167997537
19397.5,21874.0012086957
3353,9864.79786333601
4139,9779.29786333601
3858,24824.8612316581
693,15875.2437996197
2033,13437.6484835137
1614.5,14923.7413750554
701,18995.3401097956
1008,17752.3401097956
692,19339.8401097956
3525,21644.8612316581
1085.5,24206.7413750554
4466,11027.463580018
3675,11674.463580018
2652,14025.6484835137
3012,16314.963580018
4186,9621.14848351375
2674,20142.8401097956
2822,26600.3401097956
2669,21564.963580018
2783,23498.2987337865
4734,27766.8612316581
471,20735.6484835137
3830,28386.7987337865
724,23988.7987337865
1220,8766.14848351375
2410,17949.3612316581
1915,24806.2987337865
4177,15767.3612316581
1841,9705.14848351375
4402,21924.2987337865
2671,15334.463580018
2026,17817.3612316581
1275,17043.963580018
2942,29056.7987337865
3930,29000.7987337865
588,24150.8401097956
1385,9521.14848351375
733,11802.963580018
1574,20166.3612316581
352,21276.3401097956
6402,20489.5540559586
7140,17951.5540559586
7709,18791.0540559586
6397,20434.5540559586
6169,17173.7987337865
721,17477.7437996197
1391,18038.8612316581
1316,25094.7708606484
1831,9504.29786333601
4454,11843.7437996197
2034,28896.2708606484
1415,11798.797863336
3261,25020.2987337865
2992,15995.8612316581
3118,31766.2708606484
7574,21392.2987337865
3808,14516.3612316581
3402,14948.2437996197
5457,20492.2708606484
6850,20875.2708606484
6964,14750.7987337865
5758,12594.8612316581
311.5,4138.74137505543
3414,29426.2987337865
2429,15503.297863336
5953,21528.2708606484
9084,14313.2987337865
6841,21351.8612316581
5529,14354.2437996197
4550,29432.7708606484
6398,18749.2987337865
4044,10479.8612316581
5380,18526.0540559586
749,8772.86123165809
457,33383.0540559586
2773,23918.0540559586
1644,31296.0540559586
1214.5,13804.2413750554
2256,37169.5540559586
2424,18725.8401097956
3160,17721.797863336
1983,19672.797863336
3050,15501.8401097955
5431,11286.2437996197
9096,20569.7708606484
2987,21792.2708606484
696,27082.2987337865
1595.5,18558.2413750554
5957,14007.797863336
10166,16429.797863336
8221,29590.8612316581
301.5,32722.7413750554
2510,16683.6484835137
8198.5,20315.7413750554
2075.5,19935.7413750554
1202,21781.8401097956
1933,19538.3401097956
5085,29187.8612316581
2094.5,28402.7413750554
11135,15317.963580018
4399,16773.6484835137
7915,21970.463580018
7959,16212.1484835137
3814,29425.3401097956
5417,33504.8401097956
5236,27591.463580018
5817,28846.2987337865
7160,33555.3612316581
774,20908.6484835137
1163,29531.7987337865
3338,13182.1484835137
5714,22344.8612316581
4326,27750.2987337865
8921,18777.3612316581
3505,12560.1484835137
9019,25744.2987337865
7174,19827.963580018
2886,20177.463580018
5264,33502.7987337865
8516,35087.2987337865
932,32934.3401097956
2752,13088.1484835137
1553,16199.963580018
2559,21525.8612316581
11721,22415.8612316581
4324,17582.0540559586
484,24348.8401097956
10317,22835.5540559586
10294,19466.5540559586
11214,20104.0540559586
10709,23446.5540559586
11037,23671.2987337865
963,19623.7437996197
1586,16985.3612316581
626,20089.2708606484
494,16121.297863336
3824,14640.2437996197
3711,39962.7708606484
2409,16182.297863336
5374,30692.2987337865
5156,21463.3612316581
4184,33355.7708606484
14100,28931.7987337865
9171,20624.3612316581
6888,18081.7437996197
8405,22583.7708606484
10794,22774.7708606484
12152,17651.2987337865
10691,16491.8612316581
336.5,2123.74137505543
5746,36346.2987337865
6677,22580.797863336
11567,25058.7708606484
15674,20311.2987337865
11368,28708.8612316581
7846,19505.7437996197
4946,31301.7708606484
9584,24736.2987337865
6455,13477.8612316581
11681,19682.5540559586
1447,8618.86123165809
766,35238.5540559586
5924,25520.0540559586
3078.5,17207.7413750554
5599,39589.0540559586
5208,23596.8401097956
8180,23486.797863336
5692,26063.797863336
938,10407.463580018
7614,20862.3401097956
12048,17865.7437996197
14262,24849.2708606484
4125,23325.7708606484
1087,28644.7987337865
4178.5,20752.7413750554
2268,14951.963580018
15021,20318.9904127501
17143,23797.4904127501
4504,20463.138029366
4589,28873.9885588947
6504,32145.4885588947
4503,30615.4885588947
13040.5,26601.9560043135
17297.5,24504.4560043135
13112,29234.4885588947
13546,32741.9885588947
13413,28990.3277351211
2837.5,24513.9560043135
16328,25559.8277351211
4722,20437.3277351211
7599.5,26780.4560043135
10561,20501.8277351211
10237.5,27596.4560043135
17802,21140.8277351211
13898,27424.8277351211
16571,24368.3277351211
3822,9662.48855889473
8407.5,27286.9560043135
1671,25857.9885588947
21547,19020.8277351211
4716,23693.638029366
10190,25809.9904127501
17959,25525.138029366
8497,24439.4904127501
14802,29648.8277351211
24112,29565.3277351211
15160,27101.138029366
23024,19490.3277351211
15192,32261.8277351211
12309,24936.4904127501
26403,19210.8277351211
20278,27046.638029366
21980,23586.8277351211
12284,14088.4885588947
14522,32441.9904127501
10801,30428.9904127501
14212,11066.9885588947
20057,20698.138029366
4552,32241.3277351211
21157,24020.9904127501
27965,28895.9904127501
12545.5,29951.9560043135
7486,30641.9885588947
10608,33519.4885588947
17791.5,28404.4560043135
24718.5,27881.4560043135
16282,32920.4885588947
20027,34565.9885588947
20907,34155.8277351211
5087.5,24565.9560043135
7331,21826.3277351211
14989.5,27498.4560043135
17635,21590.3277351211
15459.5,28468.4560043135
26313,24595.3277351211
19702,31096.8277351211
25539,27521.3277351211
6103,11261.9885588947
13343.5,27789.9560043135
2999,29301.9885588947
29042,21033.8277351211
6286,25518.138029366
3064,29545.9904127501
16310,27054.138029366
12236,26454.4904127501
19924,33025.3277351211
32306,36520.8277351211
22892,31053.138029366
30305,22389.8277351211
20731,33750.3277351211
22509,30285.9904127501
33541,21791.3277351211
24556,31433.138029366
27122,26510.3277351211
19564,15674.9885588947
25007,36272.9904127501
20596,33758.9904127501
24166,12735.4885588947
30186,28337.138029366
6924,35134.3277351211
13141,22804.297863336
15126,17708.797863336
14448,39894.3612316581
3695,24379.7437996197
1614.5,14923.7413750554
9421,27789.6484835137
3772,28962.8401097956
5386,29255.8401097956
3694,31768.8401097956
13622,39876.8612316581
5744.5,27094.7413750554
15901,23698.463580018
14009,20007.463580018
11352,28479.6484835137
12329,27134.463580018
15239,23531.6484835137
11435,28315.3401097956
11806,35179.3401097956
11418,29568.963580018
11706,31793.2987337865
16478,43069.8612316581
2290,30378.6484835137
14405,24641.2987337865
3888,13957.2987337865
6358,25424.1484835137
10566,22934.8612316581
9046,24507.2987337865
15225,18920.8612316581
8752,28791.1484835137
15743,24438.2987337865
11428,27134.463580018
9409,30735.3612316581
6628,25520.463580018
12132,27671.2987337865
14634,31950.7987337865
3103,13813.3401097955
7074,26325.1484835137
3939,20568.963580018
7863,22053.8612316581
1340,30074.8401097956
19763,28872.5540559586
21094,23040.5540559586
22105,24685.5540559586
19756,28473.0540559586
19318,24093.7987337865
3883,28848.7437996197
7095,33957.8612316581
6796,26140.2708606484
8715,27999.297863336
15871,27317.2437996197
9424,27304.7708606484
7157,23567.797863336
12924,26489.7987337865
12273,35100.8612316581
12557,38493.7708606484
21882,33716.7987337865
14340,24454.8612316581
13270,31213.2437996197
18011,24240.7708606484
20601,23163.2708606484
20800,20611.7987337865
18533,23883.3612316581
928.5,28178.7413750554
13294,34932.2987337865
10630,29411.297863336
18926,24767.7708606484
24268,20479.7987337865
20584,36408.3612316581
18107,29881.7437996197
16048,37351.7708606484
19758,24318.7987337865
14887,23853.8612316581
17811,28439.0540559586
4031,8297.86123165809
2155,31736.0540559586
11688,31565.0540559586
8131,32991.5540559586
6321.5,27223.2413750554
10096,44145.5540559586
10597,16235.8401097955
12658,37520.297863336
9274,34440.297863336
12400,13028.3401097955
