Pair	jaccard	forbes	tetra
BCP_ENCSR000EGG_K562_RCOR1(TFsFromGheorghe)MACS_ENCSR000EEH_HepG2_NRF1 (TFsFromGheorghe)	13233	23863	23491
MACS_ENCSR000BRK_K562_TEAD4(TFsFromGheorghe)MACS_ENCSR000EFH_IMR-90_MAFK (TFsFromGheorghe)	28261	3559	13654
BCP_ENCSR000AQK_H1-hESC_CHD1(TFsFromGheorghe)BCP_ENCSR000BRG_GM12878_EGR1 (TFsFromGheorghe)	1773	6717	3242
BCP_ENCSR000BRZ_HCT116_EGR1(TFsFromGheorghe)MACS_ENCSR000BSR_MCF-7_CEBPB (TFsFromGheorghe)	9406	10453	11762
BCP_ENCSR000DOP_MCF_10A_FOS(TFsFromGheorghe)BCP_ENCSR000FAV_K562_STAT1 (TFsFromGheorghe)	1558	12276	8729
BCP_ENCSR000BRZ_HCT116_EGR1(TFsFromGheorghe)MACS_ENCSR000BVH_HCT116_ELF1 (TFsFromGheorghe)	25126	33106	25082
BCP_ENCSR494TDU_K562_NRF1(TFsFromGheorghe)MACS_ENCSR000DON_MCF_10A_FOS (TFsFromGheorghe)	16743	5325	9590
BCP_ENCSR000BPS_A549_ATF3(TFsFromGheorghe)BCP_ENCSR000ECM_HeLa-S3_RCOR1 (TFsFromGheorghe)	33093	31963	31769
BCP_ENCSR000BPM_A549_YY1(TFsFromGheorghe)MACS_ENCSR000FAV_K562_STAT1 (TFsFromGheorghe)	4146	19802	11819
BCP_ENCSR000DZE_GM12878_CHD1(TFsFromGheorghe)MACS_ENCSR000EDJ_HeLa-S3_NRF1 (TFsFromGheorghe)	13259	22105	14072
BCP_ENCSR000BSY_Ishikawa_YY1(TFsFromGheorghe)MACS_ENCSR000BUX_MCF-7_EGR1 (TFsFromGheorghe)	30781	29894	28466
BCP_ENCSR000EYZ_GM12878_FOS(TFsFromGheorghe)MACS_ENCSR000BLT_GM12892_YY1 (TFsFromGheorghe)	8691	26017	24274
BCP_ENCSR000BUQ_SK-N-SH_TEAD4(TFsFromGheorghe)MACS_ENCSR000EEI_HepG2_JUND (TFsFromGheorghe)	19661	11352	17261
BCP_ENCSR000BKJ_GM12891_YY1(TFsFromGheorghe)MACS_ENCSR000BMB_GM12878_ELF1 (TFsFromGheorghe)	33593	25775	34680
BCP_ENCSR000EBV_H1-hESC_CEBPB(TFsFromGheorghe)MACS_ENCSR000BPT_A549_ELF1 (TFsFromGheorghe)	21398	14858	16280
BCP_ENCSR000EBS_H1-hESC_MAFK(TFsFromGheorghe)MACS_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	8923	7409	5291
BCP_ENCSR000BRG_GM12878_EGR1(TFsFromGheorghe)BCP_ENCSR000BTT_Ishikawa_CEBPB (TFsFromGheorghe)	5762	19737	11235
BCP_ENCSR000BLT_GM12892_YY1(TFsFromGheorghe)MACS_ENCSR000EVU_endothelial_cell_of_umbilical_vein_FOS (TFsFromGheorghe)	14924	4428	8698
MACS_ENCSR000BRY_H1-hESC_TEAD4(TFsFromGheorghe)MACS_ENCSR000DON_MCF_10A_FOS (TFsFromGheorghe)	20921	2262	6791
MACS_ENCSR000BUD_A549_TEAD4(TFsFromGheorghe)MACS_ENCSR000EYZ_GM12878_FOS (TFsFromGheorghe)	5455	10123	6715
BCP_ENCSR000EDH_HeLa-S3_JUND(TFsFromGheorghe)BCP_ENCSR000EGV_K562_BHLHE40 (TFsFromGheorghe)	22267	13890	16252
BCP_ENCSR000EEB_HepG2_MAFK(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	12707	950	1979
BCP_ENCSR000BJT_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BJT_A549_NR3C1 (TFsFromGheorghe)	35905	35810	35803
BCP_ENCSR000BSA_HCT116_JUND(TFsFromGheorghe)MACS_ENCSR000EUM_GM12878_YY1 (TFsFromGheorghe)	2182	6001	2432
MACS_ENCSR000BNX_HCT116_YY1(TFsFromGheorghe)MACS_ENCSR000EHE_K562_CEBPB (TFsFromGheorghe)	30255	10078	20476
MACS_ENCSR000BIO_A549_NR3C1(TFsFromGheorghe)MACS_ENCSR000BPT_A549_ELF1 (TFsFromGheorghe)	10479	35373	35031
BCP_ENCSR000BPM_A549_YY1(TFsFromGheorghe)BCP_ENCSR000BQI_HepG2_CEBPB (TFsFromGheorghe)	20405	16980	16187
BCP_ENCSR000AQD_K562_CHD1(TFsFromGheorghe)MACS_ENCSR000BTA_SK-N-SH_ELF1 (TFsFromGheorghe)	19896	17220	15829
MACS_ENCSR000FAV_K562_STAT1(TFsFromGheorghe)MACS_ENCSR853ADA_HepG2_NRF1 (TFsFromGheorghe)	3698	18213	12871
BCP_ENCSR000BSD_HCT116_CEBPB(TFsFromGheorghe)BCP_ENCSR135ANT_MCF-7_NRF1 (TFsFromGheorghe)	2205	668	500
MACS_ENCSR000DZM_GM12878_STAT1(TFsFromGheorghe)MACS_ENCSR000EBZ_H1-hESC_JUND (TFsFromGheorghe)	205	35548	35855
BCP_ENCSR000BRX_GM12878_CEBPB(TFsFromGheorghe)MACS_ENCSR494TDU_K562_NRF1 (TFsFromGheorghe)	901	619	579
BCP_ENCSR000EFH_IMR-90_MAFK(TFsFromGheorghe)MACS_ENCSR853ADA_HepG2_NRF1 (TFsFromGheorghe)	10294	1241	1826
MACS_ENCSR000BTT_Ishikawa_CEBPB(TFsFromGheorghe)MACS_ENCSR000EUM_GM12878_YY1 (TFsFromGheorghe)	4053	10716	7114
MACS_ENCSR000ECM_HeLa-S3_RCOR1(TFsFromGheorghe)MACS_ENCSR000EYZ_GM12878_FOS (TFsFromGheorghe)	23456	33203	31721
