"x","y","upper","lower"
1179,18389.4563015098,26394.6645973229,10384.2480056967
1180,18395.7292669379,26399.8881471234,10391.5703867523
1181,18396.1279056815,26399.9243886494,10392.3314227137
1182,18399.8328918496,26405.2686731416,10394.3971105576
1183,18388.3447949985,26404.7222631121,10371.9673268849
1184,18388.4043849234,26404.7680505372,10372.0407193096
1185,18388.768021287,26405.040323487,10372.495719087
1186.5,18393.0166104029,26408.5473936765,10377.4858271294
1186.5,18392.0554504374,26407.4412101014,10376.6696907734
1188,18390.0497638175,26406.2165799141,10373.882947721
1189,18403.797922774,26428.1298969256,10379.4659486224
1190,18406.5660018814,26429.6017950462,10383.5302087166
1191.5,18412.8310429631,26432.474748791,10393.1873371352
1191.5,18411.5801101243,26431.3142862704,10391.8459339782
1193,18411.820558537,26431.5564759315,10392.0846411426
1194.5,18398.4658616494,26430.5400950545,10366.3916282443
1194.5,18389.5139173708,26432.2912760136,10346.7365587279
1196,18386.9970108013,26431.5753025575,10342.418719045
1197,18385.5469554798,26430.891183407,10340.2027275527
1198,18379.8375282999,26430.5752283205,10329.0998282794
1199,18379.7199452061,26430.4859934187,10328.9538969935
1200.5,18370.4236204054,26424.5942593849,10316.2529814259
1200.5,18366.3370446861,26423.3244275754,10309.3496617969
1202,18367.788617161,26424.0880721311,10311.4891621909
1203,18366.3343567264,26422.8643652212,10309.8043482317
1204,18367.541971684,26423.6374873191,10311.4464560489
1205,18381.8704385732,26446.1905033955,10317.550373751
1206,18379.6377522879,26444.8542263589,10314.4212782169
1207,18383.3526895684,26449.4115803464,10317.2937987904
1208,18382.7462099188,26448.9977444567,10316.4946753809
1209,18376.8009114463,26445.2699935483,10308.3318293442
1210,18377.4580398569,26445.8972209329,10309.0188587808
1211,18402.0304498564,26463.318165557,10340.7427341559
1212,18419.8687081647,26468.4399100026,10371.2975063267
1213,18418.9929161414,26467.4307902035,10370.5550420793
1214.5,18412.9348765962,26465.6973128478,10360.1724403446
1214.5,18409.0924691435,26465.1237219577,10353.0612163292
1216,18416.2344562185,26472.2912266742,10360.1776857628
1217,18417.8538100113,26474.0600435726,10361.6475764499
1218,18416.5244247016,26472.9434946966,10360.1053547065
1219,18406.625125097,26469.2123756693,10344.0378745248
1220,18394.5000234902,26467.2988257195,10321.7012212609
1221,18389.6382007604,26465.1921014532,10314.0843000676
1222,18389.4603063881,26465.0725602813,10313.8480524949
1223,18401.9986751348,26483.9995302297,10319.9978200399
1224,18396.2132547544,26479.0391173715,10313.3873921374
1225,18398.9216097959,26480.6892380913,10317.1539815005
1226,18392.2960691501,26479.5775832707,10305.0145550295
1227,18391.2244051124,26478.5826901986,10303.8661200262
1228,18395.4480261298,26483.5392412013,10307.3568110584
1229,18398.7534069541,26486.642023729,10310.8647901792
1230,18399.7236723722,26486.7710187161,10312.6763260282
1231,18402.9279107383,26490.6226093632,10315.2332121135
1232,18400.1991305341,26490.0955643921,10310.3026966761
1233,18397.7879792658,26488.2350709972,10307.3408875345
1234,18390.111216282,26488.739662467,10291.4827700971
1235,18391.8337189778,26489.6838237683,10293.9836141873
1236,18395.1783599756,26492.3073171534,10298.0494027977
1237,18401.3951966546,26495.1492141657,10307.6411791434
